Kurtzenhouse#Alsace#Rue de la Gare, 67720 Hœrdt, France#48.7012425#7.7821598
La Wantzenau#Alsace#Rue de la Gare, 67610 La Wantzenau, France#48.6630999#7.8242899
Lauterbourg#Alsace#Place de la Gare, 67630 Lauterbourg, France#48.9648899#8.1811
Limersheim#Alsace#Rue de la Gare, 67150 Limersheim, France#48.4574151#7.6481773
Lingolsheim#Alsace#Rue de la Gare, 67380 Lingolsheim, France#48.5577487#7.6792149
Logelbach#Alsace#Rue de la Gare, 68000 Colmar, France#48.0753833#7.3488318
Luttenbach-près-Munster#Alsace#Rue de la Gare, 68140 Luttenbach-près-Munster, France#48.0344348#7.1198153
Lutterbach (Haut-Rhin)#Alsace#Rue de la Gare, 68460 Lutterbach, France#47.7586343#7.277767
Lutzelhouse#Alsace#Rue de la Gare, 67130 Lutzelhouse, France#48.5183482#7.2903872
Marienthal#Alsace#Rue de la Gare, 67500 Haguenau, France#48.7810481#7.821786
Matzenheim#Alsace#Avenue de la Gare, 67150 Erstein, France#48.4207345#7.650091
Mertzwiller#Alsace#Rue de la Gare, 67580 Mertzwiller, France#48.870098#7.6797366
Merxheim#Alsace#Rue de la Gare, 68500 Merxheim, France#47.9122977#7.2980297
Metzéral#Alsace#Rue de la Gare, 68380 Metzeral, France#48.0128654#7.0728974
Molsheim#Alsace#Avenue de la Gare, 67120 Molsheim, France#48.5390556#7.4960873
Mommenheim#Alsace#Rue de la Gare, 67670 Mommenheim, France#48.7565535#7.6423546
Montreux-Vieux#Alsace#Rue de la Gare, 68210 Montreux-Vieux, France#47.6177246#7.0243233
Moosch#Alsace#Rue de la Gare, 68690 Moosch, France#47.8618438#7.0521165
Mothern#Alsace#Place de la Gare, 67630 Lauterbourg, France#48.9648899#8.1811
Muhlbach-sur-Munster#Alsace#Rue de la Gare, 68380 Muhlbach-sur-Munster, France#48.0246331#7.0873337
Mulhouse-Dornach#Alsace#Dornach, Mulhouse, France#47.7469683#7.3089948
Mulhouse-Ville#Alsace#Gare de Mulhouse-Ville, 68100 Mulhouse, France#47.7422382#7.3427296
Mullerhof#Alsace#Alsace, France#48.3181795#7.4416241
Munchhausen#Alsace#Rue de la Gare, 67470 Munchhausen, France#48.9234052#8.1413828
Mundolsheim#Alsace#Rue de la Gare, 67450 Mundolsheim, France#48.6440638#7.7193175
Munster#Alsace#Rue de la Gare, 68140 Munster, France#48.0399209#7.13392
Munster-Badischhof#Alsace#Alsace, France#48.3181795#7.4416241
Mutzig#Alsace#Place de la Gare, 67190 Mutzig, France#48.5341102#7.4618731
Niederbronn-les-Bains#Alsace#Avenue de la Gare, 67110 Niederbronn-les-Bains, France#48.9531188#7.6348306
Obermodern#Alsace#Rue de la Gare, 67330 Obermodern-Zutzendorf, France#48.8427567#7.5508337
Obernai#Alsace#Rue de la Gare, 67210 Obernai, France#48.4609886#7.4369473
Oderen#Alsace#Rue de la Gare, 68830 Oderen, France#47.9106291#6.9737188
Oermingen#Alsace#Rue de la Gare, 67970 Oermingen, France#48.9990517#7.1298621
Raedersheim#Alsace#Rue de la Gare, 68190 Raedersheim, France#47.8876156#7.2834031
Reichshoffen-Ville#Alsace#Rue de la Gare, 67580 Mertzwiller, France#48.870098#7.6797366
Ribeauvillé#Alsace#Ribeauvillé Gare, 68970 Guémar, France#48.1874591#7.3726139
Richwiller#Alsace#Rue de la Gare, 68120 Richwiller, France#47.7849729#7.2647526
